"Descrizione","RestQa","Note","Appunti"
"Peonia","2 ml","Cuore","L'olio essenziale di peonia è una nota di cuore delicata e floreale, con un profumo dolce e fresco, che evoca una sensazione di eleganza e freschezza. Si abbina bene con note di testa come bergamotto o mandarino, per una freschezza iniziale vivace. Inoltre, si sposa armoniosamente con note di fondo come muschio o legno di sandalo, creando una composizione ricca e avvolgente, perfetta per un tocco romantico e sofisticato.
"
"Pepe nero","0.5 ml","Testa / Cuore","Il pepe nero è generalmente considerato una nota di testa o di cuore, a seconda della composizione. Persistenza e Volatilità: Come nota di testa, il pepe nero offre un'apertura fresca, piccante e speziata che si avverte subito ma può non persistere a lungo. Come nota di cuore, può aggiungere una dimensione speziata e calda che si manifesta dopo le note di testa e dura più a lungo.Aroma Piccante e Speziato: Il pepe nero ha un profumo speziato, leggermente legnoso e terroso che si combina bene con altre note di testa fresche e agrumate oppure con note di cuore floreali e speziate.Utilizzo del Pepe NeroIn una composizione profumiera, il pepe nero può essere utilizzato per aggiungere una nota speziata e fresca che cattura immediatamente l'attenzione (nota di testa) o per arricchire e riscaldare la fragranza (nota di cuore). Si abbina bene con agrumi, fiori, spezie e note legnose, contribuendo a creare una fragranza equilibrata e complessa.Quindi, per le tue composizioni, puoi utilizzare il pepe nero come nota di testa per un'apertura speziata e stimolante o come nota di cuore per aggiungere calore e profondità alla fragranza."
"Pepe rosa","0 ml","",""
"Peppermint (Menta Piperita) ","2.5 ml","",""
"Pera","0 ml","",""
"Pesca dolce","0 ml","",""
"Pinene","0 ml","",""
"Pompelmo (Grapefruit) ","0 ml","",""
"Ribes Nero","0 ml","",""
"Rosa","12.5 ml","Cuore","L'olio essenziale di rosa è una nota di cuore intensa e floreale, con un profumo ricco, dolce e sofisticato. Si abbina bene con note di testa come bergamotto o limone, per una freschezza vivace. Inoltre, si sposa magnificamente con note di fondo come muschio o legno di sandalo, creando una composizione avvolgente e sensuale, perfetta per evocare amore e romanticismo.
"
"Rosa romantica","10 ml","Cuore","L'olio essenziale di rosa romantica è una nota di cuore intensa e floreale, con un profumo ricco, dolce e sofisticato. Si abbina bene con note di testa come bergamotto o mandarino, per una freschezza luminosa. Inoltre, si integra perfettamente con note di fondo come muschio o legno di sandalo, creando una composizione avvolgente e seducente, ideale per evocare sentimenti di amore e passione."
"Rosmarino","4 ml","Testa ","L'olio essenziale di rosmarino è una nota di testa intensa e resinosa, con un profumo fresco, erbaceo e leggermente pungente. Si sposa bene con note di cuore come lavanda o salvia, creando una sinergia aromatica vivace. Inoltre, si integra perfettamente con note di fondo come legno di cedro o patchouli, conferendo alla composizione un carattere profondo e avvolgente.
"
"Rum","0 ml","",""
"Sale","0 ml","",""
"Sandalwood (Legno di Sandalo) ","10 ml","",""
"Tabacco","0 ml","",""
"Tea tree","4 ml","Cuore","L'olio essenziale di tea tree è noto per le sue proprietà antimicrobiche e purificanti. Ha un aroma fresco, terroso e leggermente medicinale.

In profumeria, si sposa bene con note agrumate come il limone e il pompelmo, che ne esaltano la freschezza, e con note legnose come il cedro o il vetiver, che conferiscono profondità. È anche interessante combinarlo con note floreali come la lavanda, creando un equilibrio tra freschezza e delicatezza.
"
"Teakwood (Legno di Teak) ","1 ml","",""
"The bianco","20 ml","Testa","L'olio essenziale di ""The Bianco"" è un estratto fresco e aromatico, ispirato al tè bianco. Ha un profilo olfattivo delicato e raffinato, caratterizzato da note floreali, verdi e leggermente dolci, con una sottile freschezza.

Posizionamento nel profumo:

Nota di testa: grazie alla sua freschezza iniziale.


Accoppiamenti consigliati:

Nota di cuore: Fiori bianchi (come gelsomino o peonia) per un effetto elegante e delicato.

Nota di fondo: Legni leggeri o muschio per aggiungere profondità e calore.


Questa combinazione crea un profumo fresco e sofisticato, perfetto per trasmettere serenità e raffinatezza.

"
"Timo","50 ml","",""
"Tuberosa","0 ml","",""
"Uva","5 ml","Testa","L'olio essenziale di uva è una nota di testa fresca e fruttata, caratterizzata da un profumo dolce e leggermente floreale. Si presta bene a fusioni con note di cuore come rosa o gelsomino, creando un bouquet avvolgente. Inoltre, può armonizzarsi con note di fondo legnose, come cedro o patchouli, per un effetto equilibrato e persistente. Questa combinazione conferisce profondità e complessità a qualsiasi composizione.
"
"Vaniglia ","73 ml","Fondo","L'olio essenziale di vaniglia è una nota di fondo che trasmette dolcezza e calore. La sua fragranza ricca e cremosa si sposa meravigliosamente con note floreali come il gelsomino e la rosa creando un effetto seducente. Si armonizza anche con le note speziate di cannella e chiodi di garofano aggiungendo una dimensione avvolgente. La vaniglia con il suo profilo morbido e rassicurante dona a qualsiasi composizione un tocco di comfort e nostalgia. 
"
"Verbena ","0 ml","",""
"Vetiver","90 ml","Fondo","L'olio essenziale di vetiver è una nota di fondo caratterizzato da un profilo terroso e legnoso che evoca la forza della natura. La sua complessità si sposa magnificamente con note di agrumi come il bergamotto e il limone creando un contrasto vibrante. Si armonizza perfettamente anche con le note floreali di gelsomino e rosa aggiungendo un tocco di eleganza. Il vetiver con la sua sfumatura affumicata e quasi ambrata dona profondità e persistenza a qualsiasi composizione rendendola avvolgente e irresistibile"
"Violetta","5 ml","",""
"Violetta di Parma ","10 ml","",""
"Ylang Ylang","32 ml","Cuore","L'olio essenziale di ylang ylang è una nota di cuore con un profumo ricco, dolce e floreale che evoca sensualità e passione. È noto per le sue proprietà rilassanti e afrodisiache ed è spesso utilizzato in aromaterapia per equilibrare emozioni e migliorare l'umore. Si sposa bene con note agrumate come il bergamotto e il limone e con note legnose come il sandalo e il cedro. Utilizzato in profumi e prodotti per la cura personale, apporta una sensazione di lusso e armonia.
"
"Zafferano","0 ml","",""
"Zenzero ","25 ml","Testa","lo Zenzero è una Nota di TestaVolatilità: Le note di testa sono le più volatili e vengono percepite immediatamente dopo l'applicazione del profumo. Lo zenzero ha un aroma fresco, piccante e agrumato che si avverte rapidamente ma non persiste a lungo.Effetto Stimolante: Lo zenzero dona un inizio frizzante e stimolante alla fragranza, attirando subito l'attenzione e preparando il terreno per le note di cuore e di fondo. Quindi, per le tue composizioni, puoi usare lo zenzero come nota di testa per aggiungere un tocco fresco e speziato che cattura immediatamente l'attenzione."
